 #NTuple/Z0                                                                      
 output from Ecalc9f version   2.09
  settings: 
    particle type:  2
    pzmin/pzmax:   0./  100.
    transverse cuts:   0.  0.
    longitudinal cut:   0.
    RF frequency (MHz):   352.
    sigma cut:   4.
    subtract out amplitude correlation
    wrnew9 =  F

regn #   Z           Bz          eperp       elong       e6D         Ldim        Pzavg       beta        alpha       betaL       alphaL      n0          n1          n2          Lcan(eVs)   sigmaE      sigmaT      corrE       corrT       sigmaE_c    xavg        yavg        Dx          Dy          Dr          Dr2
    44  0.3354E+02  0.0000E+00  0.2763E-03  0.1997E-02  0.1550E-09  0.3297E+00  0.2011E+00  0.4193E-01 -0.5831E-02  0.5006E+00 -0.4859E-01  0.4233E+04  0.4233E+04  0.4233E+04  0.6384E-03  0.8339E-02  0.8660E-10  0.2137E+01  0.8213E-08  0.8162E-02 -0.1349E-02 -0.1719E-02 -0.7422E-02  0.2336E-03  0.6317E-02  0.3621E-02
    45  0.3432E+02  0.0000E+00  0.2757E-03  0.1992E-02  0.1536E-09  0.3344E+00  0.1998E+00  0.4109E-01 -0.1751E-02  0.5144E+00 -0.3973E-01  0.4220E+04  0.4220E+04  0.4220E+04  0.6195E-03  0.8197E-02  0.8794E-10  0.2234E+01  0.5546E-08  0.7999E-02 -0.1244E-02 -0.1700E-02 -0.8709E-02 -0.7836E-03  0.8002E-02  0.3465E-02
    46  0.3510E+02  0.0000E+00  0.2736E-03  0.1991E-02  0.1507E-09  0.3454E+00  0.1987E+00  0.4108E-01 -0.5389E-02  0.5229E+00 -0.1980E-01  0.4205E+04  0.4205E+04  0.4205E+04  0.6562E-03  0.8077E-02  0.8895E-10  0.2163E+01  0.4692E-08  0.7896E-02 -0.1154E-02 -0.1708E-02 -0.9945E-02 -0.7694E-03  0.8687E-02  0.3395E-02
    47  0.3588E+02  0.0000E+00  0.2736E-03  0.1990E-02  0.1509E-09  0.3548E+00  0.1980E+00  0.4186E-01 -0.3706E-02  0.5240E+00  0.4006E-02  0.4200E+04  0.4200E+04  0.4200E+04  0.6870E-03  0.8041E-02  0.8925E-10  0.2101E+01  0.3814E-08  0.7865E-02 -0.1187E-02 -0.1710E-02 -0.9139E-02 -0.2040E-03  0.8720E-02  0.3474E-02
    48  0.3666E+02  0.0000E+00  0.2723E-03  0.1988E-02  0.1495E-09  0.3668E+00  0.1977E+00  0.4060E-01  0.8284E-02  0.5190E+00  0.2033E-01  0.4192E+04  0.4192E+04  0.4192E+04  0.6934E-03  0.8051E-02  0.8886E-10  0.2026E+01  0.3219E-08  0.7888E-02 -0.1210E-02 -0.1695E-02 -0.6944E-02  0.7983E-03  0.7881E-02  0.3453E-02
    49  0.3744E+02  0.0000E+00  0.2716E-03  0.1980E-02  0.1473E-09  0.3681E+00  0.1978E+00  0.4174E-01  0.2308E-01  0.5123E+00  0.2520E-01  0.4180E+04  0.4180E+04  0.4180E+04  0.6783E-03  0.8099E-02  0.8805E-10  0.2083E+01  0.2310E-08  0.7930E-02 -0.1197E-02 -0.1744E-02 -0.9325E-02  0.9036E-04  0.8779E-02  0.3530E-02
    50  0.3822E+02  0.0000E+00  0.2703E-03  0.1983E-02  0.1461E-09  0.3746E+00  0.1984E+00  0.4114E-01  0.1259E-01  0.5066E+00  0.1346E-01  0.4173E+04  0.4173E+04  0.4173E+04  0.7079E-03  0.8142E-02  0.8744E-10  0.1959E+01  0.1196E-08  0.7995E-02 -0.1143E-02 -0.1715E-02 -0.8857E-02 -0.5445E-03  0.9439E-02  0.3336E-02
    51  0.3900E+02  0.0000E+00  0.2706E-03  0.1978E-02  0.1453E-09  0.3759E+00  0.1993E+00  0.4233E-01  0.3441E-01  0.5084E+00 -0.1329E-01  0.4164E+04  0.4164E+04  0.4164E+04  0.7230E-03  0.8125E-02  0.8718E-10  0.1821E+01  0.1287E-08  0.7996E-02 -0.1220E-02 -0.1671E-02 -0.9801E-02  0.1328E-02  0.7779E-02  0.3390E-02
    52  0.3978E+02  0.0000E+00  0.2696E-03  0.1973E-02  0.1439E-09  0.3758E+00  0.2004E+00  0.4129E-01  0.2920E-01  0.5212E+00 -0.3733E-01  0.4152E+04  0.4152E+04  0.4152E+04  0.6994E-03  0.8045E-02  0.8781E-10  0.1755E+01  0.5478E-09  0.7925E-02 -0.1304E-02 -0.1750E-02 -0.8532E-02 -0.5061E-03  0.8164E-02  0.3877E-02
    53  0.4056E+02  0.0000E+00  0.2684E-03  0.1969E-02  0.1430E-09  0.3849E+00  0.2016E+00  0.4235E-01  0.3283E-01  0.5394E+00 -0.4297E-01  0.4144E+04  0.4144E+04  0.4144E+04  0.7270E-03  0.7920E-02  0.8885E-10  0.1604E+01  0.8156E-09  0.7819E-02 -0.1297E-02 -0.1720E-02 -0.6445E-02 -0.6135E-03  0.7161E-02  0.3916E-02
    54  0.4134E+02  0.0000E+00  0.2685E-03  0.1967E-02  0.1414E-09  0.3831E+00  0.2029E+00  0.4233E-01  0.3489E-01  0.5573E+00 -0.2610E-01  0.4129E+04  0.4129E+04  0.4129E+04  0.7145E-03  0.7805E-02  0.8986E-10  0.1502E+01  0.1201E-08  0.7717E-02 -0.1354E-02 -0.1668E-02 -0.1075E-01 -0.2827E-03  0.7273E-02  0.4052E-02
    55  0.4212E+02  0.0000E+00  0.2682E-03  0.1975E-02  0.1418E-09  0.3839E+00  0.2039E+00  0.4166E-01  0.2957E-01  0.5650E+00  0.3667E-02  0.4125E+04  0.4125E+04  0.4125E+04  0.7115E-03  0.7794E-02  0.9035E-10  0.1494E+01  0.2588E-08  0.7706E-02 -0.1380E-02 -0.1767E-02 -0.9437E-02  0.6349E-03  0.5952E-02  0.4442E-02
    56  0.4290E+02  0.0000E+00  0.2675E-03  0.1983E-02  0.1427E-09  0.3829E+00  0.2047E+00  0.4225E-01  0.3660E-02  0.5600E+00  0.3897E-01  0.4118E+04  0.4118E+04  0.4118E+04  0.7415E-03  0.7872E-02  0.8992E-10  0.1490E+01  0.4086E-08  0.7783E-02 -0.1418E-02 -0.1740E-02 -0.7043E-02 -0.2452E-03  0.5754E-02  0.4390E-02
